total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
55718355910,17365223888,38353132022,15887167812,-4269467129,-4152248836,335810,프리시젼바이오,KOSDAQ,2021,CFS
59009538881,25634437507,33375101374,20458017811,-4500034137,-6805937708,335810,프리시젼바이오,KOSDAQ,2022,CFS
62478116634,30450657951,32027458683,20391168324,-4810588506,-4490309990,335810,프리시젼바이오,KOSDAQ,2023,CFS
52039023615,26341377407,25697646208,19134127922,-5366154453,-7305106423,335810,프리시젼바이오,KOSDAQ,2024,CFS
53074290379,20307576836,32766713543,19925825433,-5381489055,-10022814571,335810,프리시젼바이오,KOSDAQ,2025,CFS
