total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
131871795953,41057564103,90814231850,80394390816,476856722,-2325761461,130740,티피씨글로벌,KOSDAQ,2021,CFS
118590043145,36867267888,81722775257,81344275889,-1608652657,2216264698,130740,티피씨글로벌,KOSDAQ,2022,CFS
117402991103,38331415585,79071575518,79495864095,-2818722194,-6399107984,130740,티피씨글로벌,KOSDAQ,2023,CFS
112833101054,19273104811,93559996243,80422348875,-901735070,-306836314,130740,티피씨글로벌,KOSDAQ,2024,CFS
123558382927,30521990214,93036392713,79404293659,-3261498580,-375261456,130740,티피씨글로벌,KOSDAQ,2025,CFS
