total_assets,total_liabilities,total_equity,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
5499081027,5974749703,-475668676,-3253645177,-3836833320,276040,스코넥,KOSDAQ,2021,CFS
29723813206,4242559322,25481253884,-4634920334,-4448448680,276040,스코넥,KOSDAQ,2022,CFS
25795965822,3000157668,22795808154,-6054392063,-5250928765,276040,스코넥,KOSDAQ,2023,CFS
19537046087,2150663437,17386382650,-7461334251,-6646092840,276040,스코넥,KOSDAQ,2024,CFS
20582534179,7381977364,13200556815,-12232805445,-21856275545,276040,스코넥,KOSDAQ,2025,CFS
