total_assets,total_liabilities,revenue,operating_income,net_income,total_equity,종목코드,회사명,시장구분,연도,fs_div
476656365404,268618296776,454523692263,2386598711,-15861729544,181520555482,011930,신성이엔지,KOSPI,2021,CFS
577555245278,366385474629,664143679914,21021027961,34271583029,156366391702,011930,신성이엔지,KOSPI,2022,CFS
587747541244,345149056054,576519652360,7357387392,15258873765,242598485190,011930,신성이엔지,KOSPI,2023,CFS
605269638823,367722936876,582301298381,4991741264,-13960189121,237546701947,011930,신성이엔지,KOSPI,2024,CFS
600686182250,367371934211,567454391304,1281312264,-8194539332,233314248039,011930,신성이엔지,KOSPI,2025,CFS
