total_assets,total_liabilities,total_equity,operating_income,net_income,revenue,종목코드,회사명,시장구분,연도,fs_div
1155191959695,957762437911,197429521784,10194064916,-37707110347,77732387464,013520,화승코퍼레이션,KOSPI,2021,CFS
1177218098360,926620108676,250597989684,43168338185,15658333919,115516620925,013520,화승코퍼레이션,KOSPI,2022,CFS
1154543398411,884030134462,270513263949,78207488155,33208351746,273585305760,013520,화승코퍼레이션,KOSPI,2023,CFS
1288499141437,926508894133,361990247304,88714989487,59944838156,429882611951,013520,화승코퍼레이션,KOSPI,2024,CFS
1232594230096,813861087586,418733142510,83064262116,103147000577,1639776710595,013520,화승코퍼레이션,KOSPI,2025,CFS
