total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
36255188285,6930137622,29325050663,25134889536,-1120241590,-930325848,270520,앱튼,KOSDAQ,2021,CFS
66139251007,23776898905,42362352102,17563145101,-3132579506,-3247801921,270520,앱튼,KOSDAQ,2022,CFS
98562868036,40137012185,58425855851,20415365649,-6546305546,-5003432973,270520,앱튼,KOSDAQ,2023,CFS
206414660772,125492277412,80922383360,18377623948,-12752142085,-19166805801,270520,앱튼,KOSDAQ,2024,CFS
160058822816,64874481177,95184341639,16895496082,-11156699603,-23431066466,270520,앱튼,KOSDAQ,2025,CFS
