total_assets,total_liabilities,total_equity,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div,revenue
47174524130,25620153763,21554370367,-713057804,1774592305,047080,한빛소프트,KOSDAQ,2021,CFS,
43940681362,19081035629,24859645733,3536564112,3319108150,047080,한빛소프트,KOSDAQ,2022,CFS,
31663337032,16116053308,15547283724,-6524096635,-9555432098,047080,한빛소프트,KOSDAQ,2023,CFS,
32786852318,15414965673,17371886645,-1407390281,1501197359,047080,한빛소프트,KOSDAQ,2024,CFS,33298497710.0
25154958500,5140111525,20014846975,284302527,5442938475,047080,한빛소프트,KOSDAQ,2025,CFS,37885851163.0
