종목코드,회사명,시장구분,연도,fs_div,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,cfo,cfi,cff
012450,한화에어로스페이스,KOSPI,2025,CFS,26702901249000.0,3089320181000.0,2201983086000.0,53953669604000.0,37165484932000.0,16788184672000.0,,,
032830,삼성생명,KOSPI,2023,CFS,,2398377000000.0,2033709000000.0,314655050000000.0,270317609000000.0,44337441000000.0,,,
032830,삼성생명,KOSPI,2024,CFS,,2499751000000.0,2260255000000.0,312218844000000.0,279480913000000.0,32737931000000.0,,,
032830,삼성생명,KOSPI,2025,CFS,,2580469000000.0,2451515000000.0,350685701000000.0,285850383000000.0,64835318000000.0,,,
207940,삼성바이오로직스,KOSPI,2021,CFS,1568006928039.0,537309408072.0,393589467655.0,7970010786863.0,2978908646183.0,4991102140680.0,,,
207940,삼성바이오로직스,KOSPI,2022,CFS,3001295197683.0,983627394377.0,798056210082.0,16582050258486.0,7597575863329.0,8984474395157.0,,,
207940,삼성바이오로직스,KOSPI,2023,CFS,3694588767068.0,1113680009715.0,857691298384.0,16046197209196.0,6215704796851.0,9830492412345.0,,,
207940,삼성바이오로직스,KOSPI,2024,CFS,4547322176421.0,1320052380133.0,1083315885986.0,17336296349511.0,6431620287493.0,10904676062018.0,,,
207940,삼성바이오로직스,KOSPI,2025,CFS,4556971695180.0,2069221266630.0,1784352060593.0,11060741976837.0,3609631328852.0,7451110647985.0,,,
028260,삼성물산,KOSPI,2021,CFS,34455181882704.0,1195982736408.0,1829084039967.0,55245423114466.0,22093183631512.0,33152239482954.0,,,
028260,삼성물산,KOSPI,2022,CFS,43161653399535.0,2528524413589.0,2544956968509.0,58981492466950.0,27017371086433.0,31964121380517.0,,,
028260,삼성물산,KOSPI,2023,CFS,41895681215734.0,2870173816853.0,2719106116709.0,66127029212679.0,26229919730957.0,39897109481722.0,,,
028260,삼성물산,KOSPI,2024,CFS,42103238027336.0,2983396694918.0,2772012091811.0,61990426835548.0,24731886937019.0,37258539898529.0,,,
028260,삼성물산,KOSPI,2025,CFS,40742240967149.0,3292747495925.0,3906652564846.0,86532745699428.0,29035796293982.0,57496949405446.0,,,
000270,기아,KOSPI,2021,CFS,69862366000000.0,5065685000000.0,4760311000000.0,66849997000000.0,31937441000000.0,34912556000000.0,,,
000270,기아,KOSPI,2022,CFS,86559029000000.0,7233120000000.0,5408976000000.0,73710965000000.0,34367884000000.0,39343081000000.0,,,
000270,기아,KOSPI,2023,CFS,99808420000000.0,11607873000000.0,8777817000000.0,80627826000000.0,34069591000000.0,46558235000000.0,,,
000270,기아,KOSPI,2024,CFS,107448752000000.0,12667139000000.0,9775005000000.0,92755874000000.0,36915565000000.0,55840309000000.0,,,
000270,기아,KOSPI,2025,CFS,114140919000000.0,9078148000000.0,7554174000000.0,98979055000000.0,37788591000000.0,61190464000000.0,,,
105560,KB금융,KOSPI,2023,CFS,,6435319000000.0,4563431000000.0,715738152000000.0,656864842000000.0,58873310000000.0,,,
105560,KB금융,KOSPI,2024,CFS,,8045261000000.0,5028606000000.0,757845532000000.0,698030351000000.0,59815181000000.0,,,
105560,KB금융,KOSPI,2025,CFS,,8517711000000.0,5840715000000.0,797923033000000.0,737093044000000.0,60829989000000.0,,,
012330,현대모비스,KOSPI,2021,CFS,41702184000000.0,2040112000000.0,2362474000000.0,51482537000000.0,16125063000000.0,35357474000000.0,,,
012330,현대모비스,KOSPI,2022,CFS,51906293000000.0,2026531000000.0,2487244000000.0,55406698000000.0,17599066000000.0,37807632000000.0,,,
012330,현대모비스,KOSPI,2023,CFS,59254361000000.0,2295284000000.0,3423309000000.0,58585845000000.0,17930546000000.0,40655299000000.0,,,
012330,현대모비스,KOSPI,2024,CFS,57236995000000.0,3073456000000.0,4060161000000.0,66596905000000.0,20478673000000.0,46118232000000.0,,,
012330,현대모비스,KOSPI,2025,CFS,61118127000000.0,3357456000000.0,3664736000000.0,70400532000000.0,21187737000000.0,49212795000000.0,,,
006400,삼성SDI,KOSPI,2021,CFS,13553220248796.0,1067575600497.0,1250401560241.0,25833192996936.0,10636493682081.0,15196699314855.0,,,
